Variable,Description,Values
prq_o_2,Following instructions to turn off your phone at a show even though you do not believe that others would hear or see it,1 = maximally dissimilar; 10 = maximally similar
prq_a_1,Trying to make a good impression when you meet a new person,1 = maximally dissimilar; 10 = maximally similar
prq_a_2,Being interviewed for a job,1 = maximally dissimilar; 10 = maximally similar
prq_p_1,Spending the evening with a good friend,1 = maximally dissimilar; 10 = maximally similar
prq_p_2,Taking a relaxing walk through a park,1 = maximally dissimilar; 10 = maximally similar
prq_n_1,Getting into an argument with a colleague or classmate,1 = maximally dissimilar; 10 = maximally similar
prq_n_2,Walking outside during a storm,1 = maximally dissimilar; 10 = maximally similar
prq_w_1,Working extra hours to earn more money,1 = maximally dissimilar; 10 = maximally similar
prq_w_2,Completing an assignment to get a good grade in a class,1 = maximally dissimilar; 10 = maximally similar
prq_DO_prq_g_1,Qualtrics randomization variable,
prq_DO_prq_g_2,Qualtrics randomization variable,
prq_DO_prq_o_1,Qualtrics randomization variable,
prq_DO_prq_o_2,Qualtrics randomization variable,
prq_DO_prq_a_1,Qualtrics randomization variable,
prq_DO_prq_a_2,Qualtrics randomization variable,
prq_DO_prq_p_1,Qualtrics randomization variable,
prq_DO_prq_p_2,Qualtrics randomization variable,
prq_DO_prq_n_1,Qualtrics randomization variable,
prq_DO_prq_n_2,Qualtrics randomization variable,
prq_DO_prq_w_1,Qualtrics randomization variable,
prq_DO_prq_w_2,Qualtrics randomization variable,
empathy_family,Participants are asked to input the name of a close relative of the same age.,
empathy_kinType,What is your relationship with the close relative?,"1 = Cousin
2 = Sibling
3 = Aunt or uncle
4 = Parent
5 = Grandparent
6 = Other"
empathy_kinType_6_TEXT,"Text input for ""Other""",
empathy_friend,Participants are asked to input the name of a friend.,
empathy_stranger,Participants are asked to input the name of a stranger.,
empathy_email_9,"How likely is it that you'll call, e-mail, or text [Name] over the next week?",0 = I am completely certain that I will NOT contanct this person in the next week; 100 = I am completely certain I WILL contact this person in the next week
empathy_discussion_8,How likely is it that you'll discuss something important or interesting with [NAME] over the next month?,0 = I am completely certain that I will NOT discuss something important or interesting with this person in the next month; 100 = I am completely certain that I WILL discuss something important or interesting with this person in the next month
empathy_time_8,How likely is it that you'll spend time with [NAME] over the next year?,0 = I am completely certain that I will NOT spend time with this person in the next year; 100 = I am completely certain that I WILL spend time with this person in the next year
empathy_circle,"Please indicate which picture below best describes your relationship with [NAME]. For the picture, you are the left circle and [NAME[ is the right circle.",1 = No overlap; 7 = A lot of overlap
empathy_1_compassionate,"Report of extent that participant experienced feeling ""compassionate"" after reading a story about [NAME]'s dog getting lost","1 = ""Not at all""; 7 = ""Extremely"""
empathy_1_distressed,"Report of extent that participant experienced feeling ""distressed"" after reading a story about [NAME]'s dog getting lost","1 = ""Not at all""; 7 = ""Extremely"""
empathy_1_suprised,"Report of extent that participant experienced feeling ""suprised"" after reading a story about [NAME]'s dog getting lost","1 = ""Not at all""; 7 = ""Extremely"""
empathy_1_sympathetic,"Report of extent that participant experienced feeling ""sympathetic"" after reading a story about [NAME]'s dog getting lost","1 = ""Not at all""; 7 = ""Extremely"""
empathy_1_upset,"Report of extent that participant experienced feeling ""upset"" after reading a story about [NAME]'s dog getting lost","1 = ""Not at all""; 7 = ""Extremely"""
empathy_1_sad,"Report of extent that participant experienced feeling ""sad"" after reading a story about [NAME]'s dog getting lost","1 = ""Not at all""; 7 = ""Extremely"""
empathy_1_pity,"Report of extent that participant experienced feeling ""pity"" after reading a story about [NAME]'s dog getting lost","1 = ""Not at all""; 7 = ""Extremely"""
empathy_1_confused,"Report of extent that participant experienced feeling ""confused"" after reading a story about [NAME]'s dog getting lost","1 = ""Not at all""; 7 = ""Extremely"""
empathy_1_emotions_DO_empathy_1_compassionate,Qualtrics randomization variable,
empathy_1_emotions_DO_empathy_1_distressed,Qualtrics randomization variable,
empathy_1_emotions_DO_empathy_1_suprised,Qualtrics randomization variable,
empathy_1_emotions_DO_empathy_1_sympathetic,Qualtrics randomization variable,
empathy_1_emotions_DO_empathy_1_upset,Qualtrics randomization variable,
empathy_1_emotions_DO_empathy_1_sad,Qualtrics randomization variable,
empathy_1_emotions_DO_empathy_1_pity,Qualtrics randomization variable,
empathy_1_emotions_DO_empathy_1_confused,Qualtrics randomization variable,
empathy_1_help,How much help would you be willing to provide [NAME] in this situation (finding their dog)?,"1 = No help
2 = Search for a few minutes
3 = Search for an hour
4 = Search for two hours
5 = Search for an entire afternoon
6 = Cancel an afternoon of work or school to search
7 = Cancel an afternoon of work or school to search and ask others to do the same"
empathy_2_compassionate,"Report of extent that participant experienced feeling ""compassionate"" after reading a story about [NAME] getting evicted","1 = ""Not at all""; 7 = ""Extremely"""
empathy_2_distressed,"Report of extent that participant experienced feeling ""distressed"" after reading a story about [NAME] getting evicted","1 = ""Not at all""; 7 = ""Extremely"""
empathy_2_suprised,"Report of extent that participant experienced feeling ""suprised"" after reading a story about [NAME] getting evicted","1 = ""Not at all""; 7 = ""Extremely"""
empathy_2_sympathetic,"Report of extent that participant experienced feeling ""sympathetic"" after reading a story about [NAME] getting evicted","1 = ""Not at all""; 7 = ""Extremely"""
empathy_2_upset,"Report of extent that participant experienced feeling ""upset"" after reading a story about [NAME] getting evicted","1 = ""Not at all""; 7 = ""Extremely"""
empathy_2_sad,"Report of extent that participant experienced feeling ""sad"" after reading a story about [NAME] getting evicted","1 = ""Not at all""; 7 = ""Extremely"""
empathy_2_pity,"Report of extent that participant experienced feeling ""pity"" after reading a story about [NAME] getting evicted","1 = ""Not at all""; 7 = ""Extremely"""
empathy_2_confused,"Report of extent that participant experienced feeling ""confused"" after reading a story about [NAME] getting evicted","1 = ""Not at all""; 7 = ""Extremely"""
empathy_2_emotions_DO_empathy_2_compassionate,Qualtrics randomization variable,
empathy_2_emotions_DO_empathy_2_distressed,Qualtrics randomization variable,
empathy_2_emotions_DO_empathy_2_suprised,Qualtrics randomization variable,
empathy_2_emotions_DO_empathy_2_sympathetic,Qualtrics randomization variable,
empathy_2_emotions_DO_empathy_2_upset,Qualtrics randomization variable,
empathy_2_emotions_DO_empathy_2_sad,Qualtrics randomization variable,
empathy_2_emotions_DO_empathy_2_pity,Qualtrics randomization variable,
empathy_2_emotions_DO_empathy_2_confused,Qualtrics randomization variable,
empathy_2_help,How much help would you be willing to provide [NAME] in this situation (getting evicted)?,"1 = No help
2 = Send them information about available apartments
3 = Help them find a new place to live by visiting apartments for a few hours
4 = Offer to have them come stay with you for a couple of days (provided you have space)
5 = Offer to have them come stay with you for a week (provided you have space)
6 = Offer to have them come stay with you until they find a new place (provided you have space)
7 = Offer to have them come stay with you rent-free (provided you have space)"
empathy_3_compassionate,"Report of extent that participant experienced feeling ""compassionate"" after reading a story about [NAME] dying in an accident","1 = ""Not at all""; 7 = ""Extremely"""
empathy_3_distressed,"Report of extent that participant experienced feeling ""distressed"" after reading a story about [NAME] dying in an accident","1 = ""Not at all""; 7 = ""Extremely"""
empathy_3_suprised,"Report of extent that participant experienced feeling ""suprised"" after reading a story about [NAME] dying in an accident","1 = ""Not at all""; 7 = ""Extremely"""
empathy_3_sympathetic,"Report of extent that participant experienced feeling ""sympathetic"" after reading a story about [NAME] dying in an accident","1 = ""Not at all""; 7 = ""Extremely"""
empathy_3_upset,"Report of extent that participant experienced feeling ""upset"" after reading a story about [NAME] dying in an accident","1 = ""Not at all""; 7 = ""Extremely"""
empathy_3_sad,"Report of extent that participant experienced feeling ""sad"" after reading a story about [NAME] dying in an accident","1 = ""Not at all""; 7 = ""Extremely"""
empathy_3_pity,"Report of extent that participant experienced feeling ""pity"" after reading a story about [NAME] dying in an accident","1 = ""Not at all""; 7 = ""Extremely"""
empathy_3_confused,"Report of extent that participant experienced feeling ""confused"" after reading a story about [NAME] dying in an accident","1 = ""Not at all""; 7 = ""Extremely"""
empathy_3_emotions_DO_empathy_3_compassionate,Qualtrics randomization variable,
empathy_3_emotions_DO_empathy_3_distressed,Qualtrics randomization variable,
empathy_3_emotions_DO_empathy_3_suprised,Qualtrics randomization variable,
empathy_3_emotions_DO_empathy_3_sympathetic,Qualtrics randomization variable,
empathy_3_emotions_DO_empathy_3_upset,Qualtrics randomization variable,
empathy_3_emotions_DO_empathy_3_sad,Qualtrics randomization variable,
empathy_3_emotions_DO_empathy_3_pity,Qualtrics randomization variable,
empathy_3_emotions_DO_empathy_3_confused,Qualtrics randomization variable,
empathy_3_help,How much help would you be willing to provide [NAME]'s children in this situation?,"1 = No help
2 = Donate an hours worth of typical wages toward a fund for the kids
3 = Donate a 2.5 hours worth of typical wages toward a fund for the kids
4 = Donate a 5 hours worth of typical wages toward a fund for the kids
5 = Start a fund-raising effort for the kids' welfare
6 = Have the kids come live with you until a permanent home was found
7 = Have the kids come live with you and raise them as you would your own"
birthdate,Participant's age,
brother,"How many brothers do you have (please include all step, adopted, biological, and half-brothers)?",1-10+
sister,"How many sisters do you have (please include all step, adopted, biological, and half-sisters)?",1-10+
sibling_instructions,What is the name of your oldest living sibling?,
sibling_gender,What is the sex of this sibling?,"1 = Male
2 = Female
3 = Other"
sibling_gen_match,Is this sibling the same or different sex as you?,"1 = Same
2 = Different"
sibling_birthdate,What is your sibling's age?,
sibling_mother,Does this sibling share the same biological mother as you?,"1 = Yes
2 = No 
3 = I don't know"
sibling_father,Does this sibling share the same biological father as you?,"1 = Yes
2 = No 
3 = I don't know"
sibling_status,Is this sibling older or younger than you?,"1 = Younger
2 = Older
3 = Twin"
older_age,How old was this sibling when you were born?,
younger_age,How old were you when this sibling was born?,
younger_mother,Did you live with BOTH this sibling and your biological mother right after this sibling was born?,"1 = Yes
2 = No 
3 = I don't know"
younger_infant,Did your biological mother care for this sibling as an infant?,"1 = Yes
2 = No 
3 = I don't know"
sb_tg_0_1,Did you live with your oldest sibling when you were just born?,"1 = Yes
2 = No "
sb_tg_0_2,Did you live with your biological mother when you were just born?,"1 = Yes
2 = No "
sb_tg_0_3,Did you live with your biological father when you were just born?,"1 = Yes
2 = No "
sb_tg_1_1,Did you live with your oldest sibling when you were 1 years old?,"1 = Yes
2 = No "
sb_tg_1_2,Did you live with your biological mother when you were 1 years old?,"1 = Yes
2 = No "
sb_tg_1_3,Did you live with your biological father when you were 1 years old?,"1 = Yes
2 = No "
sb_tg_2_1,Did you live with your oldest sibling when you were 2 years old?,"1 = Yes
2 = No "
sb_tg_2_2,Did you live with your biological mother when you were 2 years old?,"1 = Yes
2 = No "
sb_tg_2_3,Did you live with your biological father when you were 2 years old?,"1 = Yes
2 = No "
sb_tg_3_1,Did you live with your oldest sibling when you were 3 years old?,"1 = Yes
2 = No "
sb_tg_3_2,Did you live with your biological mother when you were 3 years old?,"1 = Yes
2 = No "
sb_tg_3_3,Did you live with your biological father when you were 3 years old?,"1 = Yes
2 = No "
sb_tg_4_1,Did you live with your oldest sibling when you were 4 years old?,"1 = Yes
2 = No "
sb_tg_4_2,Did you live with your biological mother when you were 4 years old?,"1 = Yes
2 = No "
sb_tg_4_3,Did you live with your biological father when you were 4 years old?,"1 = Yes
2 = No "
sb_tg_5_1,Did you live with your oldest sibling when you were 5 years old?,"1 = Yes
2 = No "
sb_tg_5_2,Did you live with your biological mother when you were 5 years old?,"1 = Yes
2 = No "
sb_tg_5_3,Did you live with your biological father when you were 5 years old?,"1 = Yes
2 = No "
sb_tg_6_1,Did you live with your oldest sibling when you were 6 years old?,"1 = Yes
2 = No "
sb_tg_6_2,Did you live with your biological mother when you were 6 years old?,"1 = Yes
2 = No "
sb_tg_6_3,Did you live with your biological father when you were 6 years old?,"1 = Yes
2 = No "
sb_tg_7_1,Did you live with your oldest sibling when you were 7 years old?,"1 = Yes
2 = No "
sb_tg_7_2,Did you live with your biological mother when you were 7 years old?,"1 = Yes
2 = No "
sb_tg_7_3,Did you live with your biological father when you were 7 years old?,"1 = Yes
2 = No "
sb_tg_8_1,Did you live with your oldest sibling when you were 8 years old?,"1 = Yes
2 = No "
sb_tg_8_2,Did you live with your biological mother when you were 8 years old?,"1 = Yes
2 = No "
sb_tg_8_3,Did you live with your biological father when you were 8 years old?,"1 = Yes
2 = No "
sb_tg_9_1,Did you live with your oldest sibling when you were 9 years old?,"1 = Yes
2 = No "
sb_tg_9_2,Did you live with your biological mother when you were 9 years old?,"1 = Yes
2 = No "
sb_tg_9_3,Did you live with your biological father when you were 9 years old?,"1 = Yes
2 = No "
sb_tg_10_1,Did you live with your oldest sibling when you were 10 years old?,"1 = Yes
2 = No "
sb_tg_10_2,Did you live with your biological mother when you were 10 years old?,"1 = Yes
2 = No "
sb_tg_10_3,Did you live with your biological father when you were 10 years old?,"1 = Yes
2 = No "
sb_tg_11_1,Did you live with your oldest sibling when you were 11 years old?,"1 = Yes
2 = No "
sb_tg_11_2,Did you live with your biological mother when you were 11 years old?,"1 = Yes
2 = No "
sb_tg_11_3,Did you live with your biological father when you were 11 years old?,"1 = Yes
2 = No "
sb_tg_12_1,Did you live with your oldest sibling when you were 12 years old?,"1 = Yes
2 = No "
sb_tg_12_2,Did you live with your biological mother when you were 12 years old?,"1 = Yes
2 = No "
sb_tg_12_3,Did you live with your biological father when you were 12 years old?,"1 = Yes
2 = No "
sb_tg_13_1,Did you live with your oldest sibling when you were 13 years old?,"1 = Yes
2 = No "
sb_tg_13_2,Did you live with your biological mother when you were 13 years old?,"1 = Yes
2 = No "
sb_tg_13_3,Did you live with your biological father when you were 13 years old?,"1 = Yes
2 = No "
sb_tg_14_1,Did you live with your oldest sibling when you were 14 years old?,"1 = Yes
2 = No "
sb_tg_14_2,Did you live with your biological mother when you were 14 years old?,"1 = Yes
2 = No "
sb_tg_14_3,Did you live with your biological father when you were 14 years old?,"1 = Yes
2 = No "
sb_tg_15_1,Did you live with your oldest sibling when you were 15 years old?,"1 = Yes
2 = No "
sb_tg_15_2,Did you live with your biological mother when you were 15 years old?,"1 = Yes
2 = No "
sb_tg_15_3,Did you live with your biological father when you were 15 years old?,"1 = Yes
2 = No "
sb_tg_16_1,Did you live with your oldest sibling when you were 16 years old?,"1 = Yes
2 = No "
sb_tg_16_2,Did you live with your biological mother when you were 16 years old?,"1 = Yes
2 = No "
sb_tg_16_3,Did you live with your biological father when you were 16 years old?,"1 = Yes
2 = No "
sb_tg_17_1,Did you live with your oldest sibling when you were 17 years old?,"1 = Yes
2 = No "
sb_tg_17_2,Did you live with your biological mother when you were 17 years old?,"1 = Yes
2 = No "
sb_tg_17_3,Did you live with your biological father when you were 17 years old?,"1 = Yes
2 = No "
sb_tg_18_1,Did you live with your oldest sibling when you were 18 years old?,"1 = Yes
2 = No "
sb_tg_18_2,Did you live with your biological mother when you were 18 years old?,"1 = Yes
2 = No "
sb_tg_18_3,Did you live with your biological father when you were 18 years old?,"1 = Yes
2 = No "
sb_tg_19_1,Did you live with your oldest sibling when you were 19 years old?,"1 = Yes
2 = No "
sb_tg_19_2,Did you live with your biological mother when you were 19 years old?,"1 = Yes
2 = No "
sb_tg_19_3,Did you live with your biological father when you were 19 years old?,"1 = Yes
2 = No "
sb_tg_20_1,Did you live with your oldest sibling when you were 20 years old?,"1 = Yes
2 = No "
sb_tg_20_2,Did you live with your biological mother when you were 20 years old?,"1 = Yes
2 = No "
sb_tg_20_3,Did you live with your biological father when you were 20 years old?,"1 = Yes
2 = No "
sibling_house,Do you still live with this sibling in the same household?,"1 = Yes
2 = No "
sibling_favor,How many favors did you do for your sibling in the past month?,0 - 10 or more
sibling_kidney,"Provided that your sibling needed a new kidney, how willing would you be to donate one of your kidneys? In this hypothetical situation, you’re not the only person who could help your sibling.",0 = Not willing at all; 6 = Completely willing
sibling_money,How willing would you be to give your sibling a month of living expenses?,0 = Not willing at all; 6 = Completely willing
sibling_education,"Assume your sibling needed your help to make a large necessary purchase. If, for some reason, nobody else could help, how willing would you be to interrupt your education, career, or other important goals <u>for an entire year</u> to work and help pay for this purchase?",0 = Not willing at all; 6 = Completely willing
sibling_sick,How willing would you be to care for this sibling if they got sick?,0 = Not willing at all; 6 = Completely willing
sibling_phone,How many times in the last month have you called to talk to this sibling on the phone?,"1 = 0 times
2 = 1 time
3 = 2-3 times
4 = 4 times (once a week)
5 = 8 times (twice a week)
6 = 12-16 times (3-4 times a week)
7 = 20-30 times (5-7 times a week)"
sibling_inperson,When was the last time you saw this sibling in person?,"1 = Within the lask week
2 = Within the last month
3 = Within the last 6 months
4 = Witihin the last year
5 = Within the last 2 years
6 = Within the last 5 years
7 = Within the last 10 years
8 = It's been more than 10 years"
meals_attention,Attention check,4 (Correct answer)
sex,Participant's gender identity,"1 = Male
2 = Female
3 = Other
4 = Prefer not to answer"
age,What is your age in years?,
education,How many years of formal education do you have?,
elementary,How many times did you move between the ages of 5-10?,0 - 5+
middle,How many times did you move between the ages of 11-14?,0 - 5+
high,How many times did you move between the ages of 15-18?,0 - 5+
social_class,How would you rate your social class?,"1 = lower/working
2 = lower middle
3 = middle
4 = upper middle
5 = upper
6 = prefer not "
grow_up,"Where did you grow up? (If you grew up in multiple places, please answer for the place you spent the longest time)","1 = Small town
2 = Suburb of medium sized city
3 = Medium sized city
4 = Suburb of a large sized city
5 = Large city "
marital_status,Which of the following best describes your current marital status?,"1 = Never married
2 = Married/In a domestic partnership
3 = Widowed
4 = Divorced
5 = Other "
attention_check,How much attention did you pay to this study?,"1 = Almost none
2 = Very little
3 = Some
4 = A lot
5 = Almost all "
goal_check,What do you think this study was about?,
hypothesis_check,What hypothesis/hypotheses do you think we were testing in study?,
intervention_check,"Before participating in our study today, had you ever taken part in an activity (for example, keeping a gratitude journal) designed to make you feel more grateful?","1 = Yes
2 = No "
intervention_check_2,Do you think it worked?,"1 = Yes
2 = No "
intervention_check_3,"In general, do you think activities like keeping a gratitude journal help people feel happier and more satisfied with life?<br>","1 = Yes
2 = No 
3 = Not sure"
ai,AI check,"1 = Yes
2 = No "
copy_paste,Copy paste check,"1 = Yes
2 = No "
copy_paste_yes,Elaborating on AI and copy paste check,
feedback,Feedback on the survey,
PROLIFIC_PID,Prolific ID,
lab,Site identification,"USA_01
BRA_01
CHN_01
COL_01
CYP_01
DNK_01
GHA_01
IND_01
KAZ_01
KAZ_01
KOR_01
MKD_01
MYS_01
MYS_01
NGA_01
NGA_02
NOR_01
PHL_01
POL_01
SWE_01
THA_01
JPN_01
TUR_01
TUR_01
ARE_01"
modality,How participants are recorded,Online/In-person
incentive,How participants are getting paid,Paid/Credit
IRB,Link to consent form,
redir,Link to redirect link,
deb,Link to debriefing page,
condition,Name of the condition assigned,"measure
events
int.events
list
letter
text
hk.list
sub
god.letter"
condition_type,Type of the condition assigned,"control
intervention"
orientation,Orientation of the line task,"left.c
right.c"
info,Assigned condition of the line task,"demand
conform"
otherName,Name of the other person in the empathy task,
subjName,Embedded data from me_attention,
lambda1,WTR slider from the empathy task module,
lambda2,WTR slider from the kinship module,
subjName2,Embedded data from me_attention,
kinName,Name of the sibling from the kinship module,
worktimeArray,An ordered array of the total time spent both on and off task,
tasktime,How much time a participant spent on the survey,
WorktimeArray,An ordered array of the total time spent both on and off task,
offTask,An ordered array of the time spent off task; each item in the array represents a separate time the subjects’ cursor left the work space and the amount of time the subject spent off task,
onTask,An ordered array of the time spent on task; each item in the array represents a separate time the subjects’ cursor entered the workspace and the amount of time the subject spent within the task window,
totalOffTask,The total amount of time spent off task,
totalOnTask,The total amount of time on task (without subtracting time spent off task),
perPagePT,Page breaks between pages,
pageNo,How many pages the participant saw,
FL_6_DO_FL_42,Qualtrics randomization variable,
FL_6_DO_FL_43,Qualtrics randomization variable,
FL_6_DO_FL_44,Qualtrics randomization variable,
FL_6_DO_FL_46,Qualtrics randomization variable,
FL_6_DO_FL_47,Qualtrics randomization variable,
FL_6_DO_FL_48,Qualtrics randomization variable,
FL_6_DO_FL_49,Qualtrics randomization variable,
FL_6_DO_FL_50,Qualtrics randomization variable,
FL_6_DO_FL_51,Qualtrics randomization variable,
FL_8_DO_emotion_1,Qualtrics randomization variable,
FL_8_DO_emotion_2,Qualtrics randomization variable,
FL_8_DO_emotion_3,Qualtrics randomization variable,
FL_8_DO_emotion_4,Qualtrics randomization variable,
FL_13180993309_DO_FL_151,Qualtrics randomization variable,
FL_13180993309_DO_FL_87,Qualtrics randomization variable,
FL_152_DO_FL_153,Qualtrics randomization variable,
FL_152_DO_FL_154,Qualtrics randomization variable,
FL_155_DO_FL_156,Qualtrics randomization variable,
FL_155_DO_FL_157,Qualtrics randomization variable,
FL_160_DO_FL_161,Qualtrics randomization variable,
FL_160_DO_FL_171,Qualtrics randomization variable,
FL_164_DO_stimuli:leftaligned;smalldiscrepancy;noinfo,Qualtrics randomization variable,
FL_164_DO_stimuli:leftaligned;largediscrepancy;noinfo,Qualtrics randomization variable,
FL_168_DO_stimuli:rightaligned;smalldiscrepancy;noinfo,Qualtrics randomization variable,
FL_168_DO_stimuli:rightaligned;largediscrepancy;noinfo,Qualtrics randomization variable,
FL_177_DO_stimuli:rightaligned;largediscrepancy;info,Qualtrics randomization variable,
FL_177_DO_stimuli:rightaligned;smalldiscrepancy;info,Qualtrics randomization variable,
FL_181_DO_stimuli:leftaligned;largediscrepancy;info,Qualtrics randomization variable,
FL_181_DO_stimuli:leftaligned;smalldiscrepancy;info,Qualtrics randomization variable,
FL_73_DO_FL_13180993312,Qualtrics randomization variable,
FL_73_DO_FL_13180993314,Qualtrics randomization variable,
FL_73_DO_FL_13180993315,Qualtrics randomization variable,
FL_82_DO_empathystory1,Qualtrics randomization variable,
FL_82_DO_empathy_story2,Qualtrics randomization variable,
FL_82_DO_empathystory3,Qualtrics randomization variable,
control_measure_DO_control_measure,Qualtrics randomization variable,
emotion_1_DO_emotion,Qualtrics randomization variable,
emotion_2_DO_emotion,Qualtrics randomization variable,
emotion_3_DO_emotion,Qualtrics randomization variable,
emotion_4_DO_emotion,Qualtrics randomization variable,
responsibilism_DO_responsibilism_1,Qualtrics randomization variable,
responsibilism_DO_responsibilism_2,Qualtrics randomization variable,
responsibilism_DO_responsibilism_3,Qualtrics randomization variable,
responsibilism_DO_responsibilism_5,Qualtrics randomization variable,
responsibilism_DO_responsibilism_4,Qualtrics randomization variable,
